2024-02-05 13:25:38.596298: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer.so.6'; dlerror: libnvinfer.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda-11.3/8.2.0/lib64:/usr/local/cuda-11.1/lib64
2024-02-05 13:25:38.596395: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libnvinfer_plugin.so.6'; dlerror: libnvinfer_plugin.so.6: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda-11.3/8.2.0/lib64:/usr/local/cuda-11.1/lib64
2024-02-05 13:25:38.596403: W tensorflow/compiler/tf2tensorrt/utils/py_utils.cc:30] Cannot dlopen some TensorRT libraries. If you would like to use Nvidia GPU with TensorRT, please make sure the missing libraries mentioned above are installed properly.
2024-02-05 13:25:41.169140: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcuda.so.1
2024-02-05 13:25:41.217861: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1555] Found device 0 with properties: 
pciBusID: 0000:17:00.0 name: NVIDIA A100 80GB PCIe MIG 1g.10gb computeCapability: 8.0
coreClock: 1.41GHz coreCount: 14 deviceMemorySize: 9.50GiB deviceMemoryBandwidth: 225.30GiB/s
2024-02-05 13:25:41.218022: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudart.so.10.1'; dlerror: libcudart.so.10.1: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda-11.3/8.2.0/lib64:/usr/local/cuda-11.1/lib64
2024-02-05 13:25:41.220000: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcublas.so.10
2024-02-05 13:25:41.220849: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcufft.so.10
2024-02-05 13:25:41.221083: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcurand.so.10
2024-02-05 13:25:41.222704: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcusolver.so.10
2024-02-05 13:25:41.223496: I tensorflow/stream_executor/platform/default/dso_loader.cc:44] Successfully opened dynamic library libcusparse.so.10
2024-02-05 13:25:41.223597: W tensorflow/stream_executor/platform/default/dso_loader.cc:55] Could not load dynamic library 'libcudnn.so.7'; dlerror: libcudnn.so.7: cannot open shared object file: No such file or directory; LD_LIBRARY_PATH: /usr/local/cudnn/cuda-11.3/8.2.0/lib64:/usr/local/cuda-11.1/lib64
2024-02-05 13:25:41.223604: W tensorflow/core/common_runtime/gpu/gpu_device.cc:1592] Cannot dlopen some GPU libraries. Please make sure the missing libraries mentioned above are installed properly if you would like to use GPU. Follow the guide at https://www.tensorflow.org/install/gpu for how to download and setup the required libraries for your platform.
Skipping registering GPU devices...
2024-02-05 13:25:41.236927: I tensorflow/core/platform/cpu_feature_guard.cc:142] Your CPU supports instructions that this TensorFlow binary was not compiled to use: AVX2 AVX512F FMA
2024-02-05 13:25:41.253508: I tensorflow/core/platform/profile_utils/cpu_utils.cc:94] CPU Frequency: 2800000000 Hz
2024-02-05 13:25:41.253639: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55bb4c6cdd50 initialized for platform Host (this does not guarantee that XLA will be used). Devices:
2024-02-05 13:25:41.253646: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): Host, Default Version
2024-02-05 13:25:41.309871: I tensorflow/compiler/xla/service/service.cc:168] XLA service 0x55bb4c1c82e0 initialized for platform CUDA (this does not guarantee that XLA will be used). Devices:
2024-02-05 13:25:41.309895: I tensorflow/compiler/xla/service/service.cc:176]   StreamExecutor device (0): NVIDIA A100 80GB PCIe MIG 1g.10gb, Compute Capability 8.0
2024-02-05 13:25:41.309989: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1096] Device interconnect StreamExecutor with strength 1 edge matrix:
2024-02-05 13:25:41.309999: I tensorflow/core/common_runtime/gpu/gpu_device.cc:1102]      
=======> train step: 960000, lr: 0.000010, total_loss: 18.59,                  box_loss: 2.67, conf_loss: 15.38, category_loss: 0.55
=======> train step: 960001, lr: 0.000010, total_loss: 42.74,                  box_loss: 6.97, conf_loss: 34.07, category_loss: 1.70
=======> train step: 960002, lr: 0.000010, total_loss: 8.63,                  box_loss: 1.54, conf_loss: 6.77, category_loss: 0.32
=======> train step: 960003, lr: 0.000010, total_loss: 18.90,                  box_loss: 4.54, conf_loss: 13.70, category_loss: 0.66
=======> train step: 960004, lr: 0.000010, total_loss: 13.00,                  box_loss: 4.58, conf_loss: 7.69, category_loss: 0.73
=======> train step: 960005, lr: 0.000010, total_loss: 15.08,                  box_loss: 3.88, conf_loss: 10.33, category_loss: 0.88
=======> train step: 960006, lr: 0.000010, total_loss: 15.25,                  box_loss: 5.69, conf_loss: 8.39, category_loss: 1.17
=======> train step: 960007, lr: 0.000010, total_loss: 9.72,                  box_loss: 4.03, conf_loss: 5.05, category_loss: 0.63
=======> train step: 960008, lr: 0.000010, total_loss: 12.42,                  box_loss: 6.75, conf_loss: 4.29, category_loss: 1.39
=======> train step: 960009, lr: 0.000010, total_loss: 7.91,                  box_loss: 4.22, conf_loss: 2.44, category_loss: 1.24
=======> train step: 960010, lr: 0.000010, total_loss: 6.00,                  box_loss: 3.71, conf_loss: 1.59, category_loss: 0.70
=======> train step: 960011, lr: 0.000010, total_loss: 7.86,                  box_loss: 4.55, conf_loss: 1.53, category_loss: 1.77
=======> train step: 960012, lr: 0.000010, total_loss: 4.31,                  box_loss: 2.32, conf_loss: 1.25, category_loss: 0.74
=======> train step: 960013, lr: 0.000010, total_loss: 7.25,                  box_loss: 4.49, conf_loss: 0.93, category_loss: 1.83
=======> train step: 960014, lr: 0.000010, total_loss: 2.40,                  box_loss: 1.30, conf_loss: 0.64, category_loss: 0.46
=======> train step: 960015, lr: 0.000010, total_loss: 6.01,                  box_loss: 3.63, conf_loss: 0.82, category_loss: 1.56
=======> train step: 960016, lr: 0.000010, total_loss: 4.01,                  box_loss: 2.84, conf_loss: 0.79, category_loss: 0.39
=======> train step: 960017, lr: 0.000010, total_loss: 3.78,                  box_loss: 2.51, conf_loss: 0.41, category_loss: 0.87
=======> train step: 960018, lr: 0.000010, total_loss: 3.11,                  box_loss: 2.29, conf_loss: 0.36, category_loss: 0.46
=======> train step: 960019, lr: 0.000010, total_loss: 3.13,                  box_loss: 1.75, conf_loss: 0.56, category_loss: 0.83
=======> train step: 960020, lr: 0.000010, total_loss: 2.98,                  box_loss: 2.41, conf_loss: 0.34, category_loss: 0.23
=======> train step: 960021, lr: 0.000010, total_loss: 2.34,                  box_loss: 1.38, conf_loss: 0.57, category_loss: 0.40
=======> train step: 960022, lr: 0.000010, total_loss: 5.22,                  box_loss: 4.03, conf_loss: 0.51, category_loss: 0.68
=======> train step: 960023, lr: 0.000010, total_loss: 4.18,                  box_loss: 3.05, conf_loss: 0.56, category_loss: 0.58
=======> train step: 960024, lr: 0.000010, total_loss: 3.08,                  box_loss: 2.03, conf_loss: 0.57, category_loss: 0.48
=======> train step: 960025, lr: 0.000010, total_loss: 3.38,                  box_loss: 2.14, conf_loss: 0.43, category_loss: 0.81
=======> train step: 960026, lr: 0.000010, total_loss: 4.63,                  box_loss: 3.60, conf_loss: 0.43, category_loss: 0.60
=======> train step: 960027, lr: 0.000010, total_loss: 4.76,                  box_loss: 3.62, conf_loss: 0.46, category_loss: 0.69
=======> train step: 960028, lr: 0.000010, total_loss: 2.41,                  box_loss: 1.66, conf_loss: 0.41, category_loss: 0.34
=======> train step: 960029, lr: 0.000010, total_loss: 2.97,                  box_loss: 2.17, conf_loss: 0.43, category_loss: 0.37
=======> train step: 960030, lr: 0.000010, total_loss: 2.22,                  box_loss: 1.49, conf_loss: 0.43, category_loss: 0.30
=======> train step: 960031, lr: 0.000010, total_loss: 1.79,                  box_loss: 1.21, conf_loss: 0.26, category_loss: 0.32
=======> train step: 960032, lr: 0.000010, total_loss: 4.65,                  box_loss: 3.47, conf_loss: 0.41, category_loss: 0.78
=======> train step: 960033, lr: 0.000010, total_loss: 3.30,                  box_loss: 2.67, conf_loss: 0.27, category_loss: 0.36
=======> train step: 960034, lr: 0.000010, total_loss: 3.46,                  box_loss: 2.59, conf_loss: 0.31, category_loss: 0.56
